,reads,umis
PZ-TChIC-K562-SC-H3K27me3-CT_313,357186,357186
PZ-TChIC-K562-SC-H3K27me3-C_279,34464,34464
PZ-MB-TChIC-K562-H3K4me3-C_161,60413,60413
PZ-MB-TChIC-K562-H3K4me3-C_54,32622,32622
PZ-TChIC-K562-SC-H3K27me3-CT_85,47861,47861
PZ-MB-TChIC-K562-H3K4me3-CT_224,9354,9354
PZ-MB-TChIC-K562-H3K4me3-C_264,65070,65070
PZ-MB-TChIC-K562-H3K4me3-T_224,10545,10545
PZ-MB-TChIC-K562-H3K4me3-C_41,125312,125312
PZ-MB-TChIC-K562-H3K4me3-C_310,31956,31956
PZ-MB-TChIC-K562-H3K4me3-C_128,131931,131931
PZ-MB-TChIC-K562-H3K4me3-C_266,72929,72929
PZ-MB-TChIC-K562-H3K4me3-C_93,99081,99081
PZ-MB-TChIC-K562-H3K4me3-CT_143,8337,8337
PZ-MB-TChIC-K562-H3K4me3-T_228,7413,7413
PZ-MB-TChIC-K562-H3K4me3-CT_322,11663,11663
PZ-MB-TChIC-K562-H3K4me3-C_58,49614,49614
PZ-MB-TChIC-K562-H3K4me3-C_377,54019,54019
PZ-MB-TChIC-K562-H3K4me3-C_175,53012,53012
PZ-MB-TChIC-K562-H3K4me3-CT_101,4274,4274
PZ-MB-TChIC-K562-H3K4me3-C_155,59735,59735
PZ-MB-TChIC-K562-H3K4me3-C_95,69024,69024
PZ-TChIC-K562-SC-H3K27me3-C_212,45441,45441
PZ-MB-TChIC-K562-H3K4me3-T_213,6087,6087
PZ-MB-TChIC-K562-H3K4me3-C_170,92992,92992
PZ-MB-TChIC-K562-H3K4me3-C_182,80610,80610
PZ-MB-TChIC-K562-H3K4me3-C_172,130619,130619
PZ-MB-TChIC-K562-H3K4me3-C_342,22611,22611
PZ-MB-TChIC-K562-H3K4me3-C_185,187285,187285
PZ-MB-TChIC-K562-H3K4me3-C_176,123243,123243
PZ-MB-TChIC-K562-H3K4me3-C_160,67425,67425
PZ-MB-TChIC-K562-H3K4me3-C_115,76168,76168
PZ-MB-TChIC-K562-H3K4me3-C_249,69864,69864
PZ-MB-TChIC-K562-H3K4me3-C_271,139123,139123
PZ-MB-TChIC-K562-H3K4me3-C_181,33006,33006
PZ-MB-TChIC-K562-H3K4me3-C_337,9117,9117
PZ-MB-TChIC-K562-H3K4me3-C_296,34314,34314
PZ-MB-TChIC-K562-H3K4me3-C_288,98141,98141
PZ-MB-TChIC-K562-H3K4me3-C_245,42806,42806
PZ-MB-TChIC-K562-H3K4me3-C_91,39182,39182
PZ-MB-TChIC-K562-H3K4me3-C_123,90172,90172
PZ-TChIC-K562-SC-H3K27me3-C_171,7914,7914
PZ-MB-TChIC-K562-H3K4me3-C_120,89415,89415
PZ-MB-TChIC-K562-H3K4me3-C_232,99897,99897
PZ-TChIC-K562-SC-H3K27me3-CT_37,47345,47345
PZ-MB-TChIC-K562-H3K4me3-C_88,72517,72517
PZ-TChIC-K562-SC-H3K27me3-CT_238,23181,23181
PZ-TChIC-K562-SC-H3K27me3-C_80,23761,23761
PZ-MB-TChIC-K562-H3K4me3-T_138,3259,3259
PZ-TChIC-K562-SC-H3K27me3-C_179,29112,29112
PZ-MB-TChIC-K562-H3K4me3-C_215,36163,36163
PZ-MB-TChIC-K562-H3K4me3-T_195,3060,3060
PZ-MB-TChIC-K562-H3K4me3-C_210,48890,48890
PZ-TChIC-K562-SC-H3K27me3-CT_269,19913,19913
PZ-MB-TChIC-K562-H3K4me3-CT_278,3732,3732
PZ-TChIC-K562-SC-H3K27me3-C_334,45313,45313
PZ-TChIC-K562-SC-H3K27me3-CT_39,42872,42872
PZ-TChIC-K562-SC-H3K27me3-CT_331,40593,40593
PZ-TChIC-K562-SC-H3K27me3-C_47,21670,21670
PZ-TChIC-K562-SC-H3K27me3-CT_304,15960,15960
PZ-TChIC-K562-SC-H3K27me3-C_59,30963,30963
PZ-TChIC-K562-SC-H3K27me3-CT_5,29789,29789
PZ-TChIC-K562-SC-H3K27me3-CT_11,63314,63314
PZ-TChIC-K562-SC-H3K27me3-CT_320,41849,41849
PZ-TChIC-K562-SC-H3K27me3-CT_325,19984,19984
PZ-TChIC-K562-SC-H3K27me3-C_192,28052,28052
PZ-TChIC-K562-SC-H3K27me3-C_285,43341,43341
PZ-TChIC-K562-SC-H3K27me3-CT_260,18719,18719
PZ-TChIC-K562-SC-H3K27me3-C_183,38750,38750
PZ-TChIC-K562-SC-H3K27me3-CT_44,18159,18159
PZ-TChIC-K562-SC-H3K27me3-C_232,33608,33608
PZ-TChIC-K562-SC-H3K27me3-CT_314,39996,39996
PZ-TChIC-K562-SC-H3K27me3-C_20,32679,32679
PZ-TChIC-K562-SC-H3K27me3-C_262,17601,17601
PZ-TChIC-K562-SC-H3K27me3-CT_34,32962,32962
PZ-TChIC-K562-SC-H3K27me3-CT_120,29323,29323
PZ-TChIC-K562-SC-H3K27me3-CT_261,16079,16079
PZ-TChIC-K562-SC-H3K27me3-C_203,37536,37536
PZ-TChIC-K562-SC-H3K27me3-CT_8,67390,67390
PZ-TChIC-K562-SC-H3K27me3-C_39,41266,41266
PZ-TChIC-K562-SC-H3K27me3-C_84,21110,21110
PZ-TChIC-K562-SC-H3K27me3-CT_247,27629,27629
PZ-TChIC-K562-SC-H3K27me3-C_328,21806,21806
PZ-TChIC-K562-SC-H3K27me3-C_189,19129,19129
PZ-TChIC-K562-SC-H3K27me3-CT_205,24899,24899
PZ-TChIC-K562-SC-H3K27me3-C_342,20889,20889
PZ-TChIC-K562-SC-H3K27me3-CT_311,32874,32874
PZ-TChIC-K562-SC-H3K27me3-C_140,19040,19040
PZ-MB-TChIC-K562-H3K4me3-CT_194,2031,2031
PZ-TChIC-K562-SC-H3K27me3-CT_254,22419,22419
PZ-TChIC-K562-SC-H3K27me3-C_193,15811,15811
PZ-TChIC-K562-SC-H3K27me3-C_209,29190,29190
PZ-TChIC-K562-SC-H3K27me3-C_167,28844,28844
PZ-TChIC-K562-SC-H3K27me3-C_58,55076,55076
PZ-TChIC-K562-SC-H3K27me3-C_133,20267,20267
PZ-TChIC-K562-SC-H3K27me3-C_317,20948,20948
PZ-TChIC-K562-SC-H3K27me3-CT_204,34977,34977
PZ-TChIC-K562-SC-H3K27me3-CT_296,29734,29734
PZ-TChIC-K562-SC-H3K27me3-CT_20,41916,41916
PZ-TChIC-K562-SC-H3K27me3-CT_155,52961,52961
PZ-TChIC-K562-SC-H3K27me3-CT_101,63287,63287
PZ-TChIC-K562-SC-H3K27me3-CT_23,31551,31551
PZ-TChIC-K562-SC-H3K27me3-CT_340,11302,11302
PZ-TChIC-K562-SC-H3K27me3-CT_216,25551,25551
PZ-TChIC-K562-SC-H3K27me3-C_201,29102,29102
PZ-TChIC-K562-SC-H3K27me3-CT_292,33720,33720
PZ-TChIC-K562-SC-H3K27me3-CT_326,22927,22927
PZ-MB-TChIC-K562-H3K4me3-C_382,35431,35431
PZ-MB-TChIC-K562-H3K4me3-C_51,49365,49365
PZ-MB-TChIC-K562-H3K4me3-C_369,77177,77177
PZ-TChIC-K562-SC-H3K27me3-C_11,36726,36726
PZ-TChIC-K562-SC-H3K27me3-CT_172,71694,71694
PZ-TChIC-K562-SC-H3K27me3-C_36,40719,40719
PZ-TChIC-K562-SC-H3K27me3-CT_99,32485,32485
PZ-TChIC-K562-SC-H3K27me3-C_263,29709,29709
PZ-TChIC-K562-SC-H3K27me3-CT_102,24731,24731
PZ-TChIC-K562-SC-H3K27me3-C_89,18094,18094
PZ-TChIC-K562-SC-H3K27me3-C_98,26669,26669
PZ-TChIC-K562-SC-H3K27me3-C_48,26669,26669
PZ-TChIC-K562-SC-H3K27me3-CT_384,112732,112732
PZ-TChIC-K562-SC-H3K27me3-C_130,16903,16903
PZ-TChIC-K562-SC-H3K27me3-CT_137,20630,20630
PZ-TChIC-K562-SC-H3K27me3-CT_88,28333,28333
PZ-TChIC-K562-SC-H3K27me3-CT_370,27322,27322
PZ-TChIC-K562-SC-H3K27me3-CT_55,25855,25855
PZ-TChIC-K562-SC-H3K27me3-CT_65,44014,44014
PZ-TChIC-K562-SC-H3K27me3-CT_131,76793,76793
