,reads,umis
PZ-MB-TChIC-K562-H3K4me3-CT_139,11762,9334
PZ-MB-TChIC-K562-H3K4me3-CT_114,12194,9375
PZ-MB-TChIC-K562-H3K4me3-CT_319,16534,12437
PZ-MB-TChIC-K562-H3K4me3-CT_346,16810,12865
PZ-MB-TChIC-K562-H3K4me3-CT_364,10834,8304
PZ-MB-TChIC-K562-H3K4me3-CT_133,15237,11521
PZ-MB-TChIC-K562-H3K4me3-CT_331,23191,17684
PZ-MB-TChIC-K562-H3K4me3-CT_368,9379,7287
PZ-MB-TChIC-K562-H3K4me3-CT_75,5206,4266
PZ-MB-TChIC-K562-H3K4me3-CT_354,15439,11719
PZ-MB-TChIC-K562-H3K4me3-CT_352,35517,26400
PZ-MB-TChIC-K562-H3K4me3-CT_227,10832,8298
PZ-MB-TChIC-K562-H3K4me3-CT_273,10107,7734
PZ-MB-TChIC-K562-H3K4me3-CT_264,8382,6764
PZ-MB-TChIC-K562-H3K4me3-CT_288,10810,8345
PZ-MB-TChIC-K562-H3K4me3-CT_157,11636,9071
PZ-MB-TChIC-K562-H3K4me3-CT_239,13376,10090
PZ-MB-TChIC-K562-H3K4me3-CT_84,5734,4948
PZ-MB-TChIC-K562-H3K4me3-CT_36,14396,11405
PZ-MB-TChIC-K562-H3K4me3-CT_111,14451,11323
PZ-MB-TChIC-K562-H3K4me3-CT_233,12211,9339
PZ-MB-TChIC-K562-H3K4me3-CT_209,8537,6710
PZ-MB-TChIC-K562-H3K4me3-CT_272,9518,7518
PZ-MB-TChIC-K562-H3K4me3-CT_219,9823,7674
PZ-MB-TChIC-K562-H3K4me3-CT_307,16863,12814
PZ-MB-TChIC-K562-H3K4me3-CT_243,21213,15945
PZ-MB-TChIC-K562-H3K4me3-CT_16,18249,13844
PZ-MB-TChIC-K562-H3K4me3-CT_266,24013,18045
PZ-MB-TChIC-K562-H3K4me3-CT_70,8396,6531
PZ-MB-TChIC-K562-H3K4me3-CT_180,14249,11153
PZ-MB-TChIC-K562-H3K4me3-CT_381,10469,8327
PZ-MB-TChIC-K562-H3K4me3-CT_216,7789,6110
PZ-MB-TChIC-K562-H3K4me3-CT_50,14926,11332
PZ-MB-TChIC-K562-H3K4me3-CT_313,7023,5679
PZ-MB-TChIC-K562-H3K4me3-CT_31,13784,10664
PZ-MB-TChIC-K562-H3K4me3-CT_17,11932,9344
PZ-MB-TChIC-K562-H3K4me3-CT_110,14567,11159
PZ-MB-TChIC-K562-H3K4me3-CT_234,10103,7670
PZ-MB-TChIC-K562-H3K4me3-CT_214,16837,12956
PZ-MB-TChIC-K562-H3K4me3-CT_68,13581,10605
PZ-MB-TChIC-K562-H3K4me3-CT_298,4280,3541
PZ-MB-TChIC-K562-H3K4me3-CT_130,6950,5647
PZ-MB-TChIC-K562-H3K4me3-CT_286,13926,10450
PZ-MB-TChIC-K562-H3K4me3-CT_136,25028,19171
PZ-MB-TChIC-K562-H3K4me3-CT_131,9162,7205
PZ-MB-TChIC-K562-H3K4me3-CT_311,16708,12597
PZ-MB-TChIC-K562-H3K4me3-CT_53,4678,3855
PZ-MB-TChIC-K562-H3K4me3-CT_39,14110,10783
PZ-MB-TChIC-K562-H3K4me3-CT_326,10779,8562
PZ-MB-TChIC-K562-H3K4me3-CT_118,5708,4550
PZ-MB-TChIC-K562-H3K4me3-CT_236,6805,5399
PZ-MB-TChIC-K562-H3K4me3-CT_195,5588,4568
PZ-MB-TChIC-K562-H3K4me3-CT_9,9756,7580
PZ-MB-TChIC-K562-H3K4me3-CT_105,15753,12289
PZ-MB-TChIC-K562-H3K4me3-CT_275,16650,12342
PZ-MB-TChIC-K562-H3K4me3-CT_240,7872,6179
PZ-MB-TChIC-K562-H3K4me3-CT_251,14039,10940
PZ-MB-TChIC-K562-H3K4me3-CT_325,15818,12332
PZ-MB-TChIC-K562-H3K4me3-CT_293,9504,7453
PZ-MB-TChIC-K562-H3K4me3-CT_255,10511,8230
PZ-MB-TChIC-K562-H3K4me3-CT_162,11707,9048
PZ-MB-TChIC-K562-H3K4me3-CT_10,28948,22149
PZ-MB-TChIC-K562-H3K4me3-CT_208,7531,5912
PZ-MB-TChIC-K562-H3K4me3-CT_79,6434,5093
PZ-MB-TChIC-K562-H3K4me3-CT_46,9795,7525
PZ-MB-TChIC-K562-H3K4me3-CT_93,10250,7904
PZ-MB-TChIC-K562-H3K4me3-CT_262,12088,9471
PZ-MB-TChIC-K562-H3K4me3-CT_315,15704,12239
PZ-MB-TChIC-K562-H3K4me3-CT_333,13637,10758
PZ-MB-TChIC-K562-H3K4me3-CT_83,9420,7400
PZ-MB-TChIC-K562-H3K4me3-CT_282,13806,10372
PZ-MB-TChIC-K562-H3K4me3-CT_166,12555,9962
PZ-MB-TChIC-K562-H3K4me3-CT_330,7521,6106
PZ-MB-TChIC-K562-H3K4me3-CT_82,12838,10050
PZ-MB-TChIC-K562-H3K4me3-CT_321,7784,6158
PZ-MB-TChIC-K562-H3K4me3-CT_15,14860,11393
PZ-MB-TChIC-K562-H3K4me3-CT_64,8140,6394
PZ-MB-TChIC-K562-H3K4me3-CT_96,17219,12875
PZ-MB-TChIC-K562-H3K4me3-CT_127,3410,2935
PZ-MB-TChIC-K562-H3K4me3-CT_100,13634,10490
PZ-MB-TChIC-K562-H3K4me3-CT_363,13186,10085
PZ-MB-TChIC-K562-H3K4me3-CT_175,13665,10485
PZ-MB-TChIC-K562-H3K4me3-CT_382,4133,3365
PZ-MB-TChIC-K562-H3K4me3-CT_378,10088,7838
PZ-MB-TChIC-K562-H3K4me3-CT_126,6495,5339
PZ-MB-TChIC-K562-H3K4me3-CT_77,12540,9707
PZ-MB-TChIC-K562-H3K4me3-CT_152,14724,11278
PZ-MB-TChIC-K562-H3K4me3-CT_20,4552,3713
PZ-MB-TChIC-K562-H3K4me3-CT_138,13003,9904
PZ-MB-TChIC-K562-H3K4me3-CT_370,12415,9527
PZ-MB-TChIC-K562-H3K4me3-CT_7,8415,6687
PZ-MB-TChIC-K562-H3K4me3-CT_371,11702,9240
PZ-MB-TChIC-K562-H3K4me3-CT_312,11547,9174
PZ-MB-TChIC-K562-H3K4me3-CT_252,16632,12602
PZ-MB-TChIC-K562-H3K4me3-CT_104,8608,6897
PZ-MB-TChIC-K562-H3K4me3-CT_134,12542,9929
PZ-MB-TChIC-K562-H3K4me3-CT_150,12969,10081
PZ-MB-TChIC-K562-H3K4me3-CT_2,6928,5692
PZ-MB-TChIC-K562-H3K4me3-CT_228,6465,5151
PZ-MB-TChIC-K562-H3K4me3-CT_290,7567,6026
PZ-MB-TChIC-K562-H3K4me3-CT_335,12167,9436
PZ-MB-TChIC-K562-H3K4me3-CT_230,8039,6431
PZ-MB-TChIC-K562-H3K4me3-CT_250,19929,15659
PZ-MB-TChIC-K562-H3K4me3-CT_151,19625,14767
PZ-MB-TChIC-K562-H3K4me3-CT_324,8980,7054
PZ-MB-TChIC-K562-H3K4me3-CT_365,16658,12541
PZ-MB-TChIC-K562-H3K4me3-CT_21,3537,2972
PZ-MB-TChIC-K562-H3K4me3-CT_358,15534,12044
PZ-MB-TChIC-K562-H3K4me3-CT_40,4938,4058
PZ-MB-TChIC-K562-H3K4me3-CT_145,382,325
PZ-MB-TChIC-K562-H3K4me3-CT_8,8559,7242
PZ-MB-TChIC-K562-H3K4me3-CT_205,4924,4014
PZ-MB-TChIC-K562-H3K4me3-CT_338,8779,7307
PZ-MB-TChIC-K562-H3K4me3-CT_257,14270,11420
PZ-MB-TChIC-K562-H3K4me3-CT_144,4859,3863
PZ-MB-TChIC-K562-H3K4me3-CT_169,1555,1368
PZ-MB-TChIC-K562-H3K4me3-CT_185,1635,1466
PZ-MB-TChIC-K562-H3K4me3-CT_1,499,432
PZ-MB-TChIC-K562-H3K4me3-CT_49,189,168
PZ-MB-TChIC-K562-H3K4me3-CT_377,220,216
PZ-MB-TChIC-K562-H3K4me3-CT_25,159,137
PZ-MB-TChIC-K562-H3K4me3-CT_121,156,135
PZ-MB-TChIC-K562-H3K4me3-CT_97,335,302
PZ-MB-TChIC-K562-H3K4me3-CT_73,62,49
