index,trajectories,ect1_ld,ect2_ld,ect3_ld,mes1_ld,mes2_ld,mes3_ld,pluri1_ld,pluri2_ld,endo1_ld
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_151,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_91,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_262,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_333,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_302,Ectoderm Progenitors,Ectoderm Gastd4,Ectoderm Gastd4,Ectoderm Gastd4,,,,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_265,Pluripotent,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_374,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_149,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_44,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_46,Mesoderm Progenitors 2,,,,Mesoderm Gastd4,,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_226,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_349,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_228,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_56,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_173,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_147,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_120,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_34,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_300,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_204,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_37,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_381,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_215,End1,,,,,,,,,Endoderm Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_276,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_243,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_82,Mes1,,,,Mesoderm Gastd4,,,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_352,Ectoderm Progenitors,Ectoderm Gastd4,Ectoderm Gastd4,Ectoderm Gastd4,,,,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_217,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_248,End1,,,,,,,,,Endoderm Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_70,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_131,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_321,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_193,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_146,Ectoderm Progenitors,Ectoderm Gastd4,Ectoderm Gastd4,Ectoderm Gastd4,,,,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_168,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_190,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_336,Pluripotent,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_338,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_183,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_203,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_108,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_65,Pluripotent,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_130,End1,,,,,,,,,Endoderm Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_330,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_167,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_179,Mesoderm Progenitors 2,,,,Mesoderm Gastd4,,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_194,Mesoderm Progenitors 2,,,,Mesoderm Gastd4,,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_104,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_171,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_36,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_316,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_103,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_133,Ectoderm Progenitors,Ectoderm Gastd4,Ectoderm Gastd4,Ectoderm Gastd4,,,,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_17,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_69,Mesoderm Progenitors 2,,,,Mesoderm Gastd4,,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_379,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_90,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_142,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_371,Pluripotent,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_39,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_106,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_309,Pluripotent,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_357,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_93,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_223,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_15,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_278,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_227,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_239,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_143,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_77,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_50,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_68,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_363,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_189,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_218,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_384,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_305,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_314,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_245,Mesoderm Progenitors 2,,,,Mesoderm Gastd4,,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_295,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_182,End1,,,,,,,,,Endoderm Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_378,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_195,Pluripotent,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_54,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_26,Mes3,,,,,,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_325,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_16,Mesoderm Progenitors 2,,,,Mesoderm Gastd4,,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_246,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_340,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_57,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_210,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_252,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_48,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_84,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_118,Mesoderm Progenitors 2,,,,Mesoderm Gastd4,,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_19,Pluripotent,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_365,Mesoderm Progenitors 2,,,,Mesoderm Gastd4,,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_112,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_364,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_138,Ectoderm Progenitors,Ectoderm Gastd4,Ectoderm Gastd4,Ectoderm Gastd4,,,,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_172,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_358,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_308,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_373,End1,,,,,,,,,Endoderm Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_60,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_177,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_283,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_132,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_111,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_343,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_356,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_286,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_154,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_337,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_355,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_165,Mesoderm Progenitors 2,,,,Mesoderm Gastd4,,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_339,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_129,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_221,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_353,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_208,Ectoderm Progenitors,Ectoderm Gastd4,Ectoderm Gastd4,Ectoderm Gastd4,,,,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_332,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_213,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_124,Ect3,,,Ectoderm Gastd4,,,,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_13,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_202,Pluripotent,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_61,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_40,Mesoderm Progenitors 2,,,,Mesoderm Gastd4,,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_126,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_304,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_324,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_21,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_219,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_212,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_86,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_261,x,,,,,,,,Pluripotent Gastd4,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_11,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_216,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_181,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_89,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_105,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_160,Pluripotent,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_35,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_201,End1,,,,,,,,,Endoderm Gastd4
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_113,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_62,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_292,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_31,Ectoderm Progenitors,Ectoderm Gastd4,Ectoderm Gastd4,Ectoderm Gastd4,,,,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_144,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_307,Mesoderm Progenitors,,,,Mesoderm Gastd4,Mesoderm Gastd4,Mesoderm Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_380,Pluripotent 2,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,Pluripotent Gastd4,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_344,x,,,,,,,Pluripotent Gastd4,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_28,Ectoderm Progenitors,Ectoderm Gastd4,Ectoderm Gastd4,Ectoderm Gastd4,,,,,,
PZ-MB-TChIC-Gastd4-rep3-H3K27me3-3_158,x,,,,,,,Pluripotent Gastd4,,
