index,ect1_ct,ect2_ct,ect3_ct,mes1_ct,mes2_ct,mes3_ct,pluri1_ct,pluri2_ct,endo1_ct
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_208,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_251,,,,,,,Reprogramming PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_154,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_110,,,,preSomitic/Wavefront,preSomitic/Wavefront,preSomitic/Wavefront,,,preSomitic/Wavefront
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_124,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_238,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_20,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,Caudal Mesoderm,,,Caudal Mesoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_344,,,,,Somite,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_331,,,,,LP/Intermediate Mesoderm,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_281,NMPs,NMPs,NMPs,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_13,,,,,,,,,Visceral Endoderm
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_92,,,,,Dermomyotome,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_219,,Roof Plate Neural Tube,,,,,,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_291,,,,,,,PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_287,,,,,,,Reprogramming PGCs,,
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_212,,,,,,,,,ExE Endoderm
