,TA_start,total,TA_ratio,QC
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_257,759.0,1031.0,73.61784675072744,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_371,1546.0,1976.0,78.23886639676113,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_134,792.0,1196.0,66.22073578595318,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_105,1005.0,1477.0,68.04333107650643,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_31,565.0,932.0,60.622317596566525,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_237,516.0,809.0,63.78244746600742,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_38,829.0,1198.0,69.19866444073456,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_251,795.0,1101.0,72.20708446866485,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_146,312.0,454.0,68.72246696035242,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_199,714.0,893.0,79.9552071668533,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_335,1334.0,1694.0,78.74852420306966,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_153,563.0,753.0,74.7675962815405,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_277,605.0,1017.0,59.488692232055065,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_148,1227.0,1700.0,72.1764705882353,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_172,301.0,822.0,36.61800486618005,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_367,691.0,955.0,72.35602094240838,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_333,1210.0,1634.0,74.0514075887393,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_70,1113.0,1531.0,72.69758327890268,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_273,1498.0,2035.0,73.6117936117936,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_198,125.0,193.0,64.76683937823834,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_227,1549.0,2022.0,76.60731948565777,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_353,283.0,392.0,72.1938775510204,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_167,535.0,785.0,68.15286624203821,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_359,809.0,1305.0,61.99233716475096,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_242,1169.0,2486.0,47.02333065164924,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_92,752.0,1089.0,69.05417814508723,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_322,2471.0,3201.0,77.19462667916275,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_247,499.0,637.0,78.33594976452119,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_139,929.0,1421.0,65.3764954257565,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_225,1173.0,1837.0,63.85410996189439,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_244,680.0,895.0,75.97765363128491,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_64,950.0,1309.0,72.57448433919022,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_33,1316.0,1638.0,80.34188034188034,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_44,241.0,322.0,74.84472049689441,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_352,134.0,243.0,55.144032921810705,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_288,1066.0,1870.0,57.00534759358289,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_19,918.0,1146.0,80.10471204188482,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_47,711.0,904.0,78.6504424778761,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_268,729.0,1002.0,72.75449101796407,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_357,258.0,458.0,56.33187772925764,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_342,414.0,519.0,79.76878612716763,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_117,1361.0,1648.0,82.58495145631069,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_309,580.0,803.0,72.2291407222914,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_194,251.0,411.0,61.0705596107056,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_12,66.0,140.0,47.14285714285714,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_138,499.0,699.0,71.38769670958513,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_316,418.0,718.0,58.21727019498607,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_122,340.0,645.0,52.71317829457365,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_236,494.0,817.0,60.46511627906976,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_89,290.0,430.0,67.44186046511628,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_163,333.0,547.0,60.877513711151735,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_189,454.0,615.0,73.8211382113821,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_284,951.0,1204.0,78.98671096345515,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_99,413.0,698.0,59.16905444126075,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_30,399.0,773.0,51.61707632600259,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_21,124.0,186.0,66.66666666666666,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_81,214.0,345.0,62.02898550724638,good
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_69,139.0,220.0,63.18181818181819,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_25,19.0,66.0,28.78787878787879,bad
PZ-MB-TChIC-Gastd3-rep3-H3K4me3-1_97,2.0,24.0,8.333333333333332,bad
