names,names,stat,log2FoldChange,pvals,padj,p_log10
Amot,Amot,16.556679,0.75276244,1.4328927154524618e-61,3.639797420397297e-59,58.43892278713442
Rian,Rian,16.49753,1.1801492,3.822125185395445e-61,9.59726847558117e-59,58.01785235600038
Irf2bpl,Irf2bpl,16.478088,1.5726318,5.272536889820708e-61,1.3088773253020258e-58,57.8831010558488
Baz2b,Baz2b,16.461473,0.90259296,6.939008973481891e-61,1.712837520115239e-58,57.766283832285
Emilin1,Emilin1,16.394258,1.9874278,2.1018724357836223e-60,5.101828255101235e-58,57.29227416531017
Prkce,Prkce,16.390007,1.8195721,2.2541642628551621e-60,5.4412536358234744e-58,57.26430102964065
Pxdn,Pxdn,16.364454,0.6236957,3.4309039042639876e-60,8.23624299347241e-58,57.08427084889623
Tnnt2,Tnnt2,16.35913,6.535892,3.74433916909604e-60,8.939558614042353e-58,57.04868392373407
Mecom,Mecom,16.2906,2.7012856,1.1509529703005103e-59,2.7181776338053836e-57,56.56572216538841
Tenm3,Tenm3,16.191385,0.8678495,5.800692359983525e-59,1.3409420629631757e-56,55.87258998596567
Ptprd,Ptprd,16.184467,1.6491293,6.49101701913798e-59,1.4848116470322381e-56,55.828328634456305
Adgrl2,Adgrl2,16.052639,0.843877,5.478361968579111e-58,1.2150005724324362e-55,54.91542351745317
Adcy6,Adcy6,16.011963,1.2940823,1.0543074409143332e-57,2.326451838433744e-55,54.6333059336826
Ttn,Ttn,15.971312,4.647035,2.0248144030899265e-57,4.4233083042700984e-55,54.35425278928133
Usp13,Usp13,15.960899,2.0785859,2.3925818202617345e-57,5.2007110601520114e-55,54.28393727398278
Efnb2,Efnb2,15.953516,1.3277507,2.6929896212336237e-57,5.8247232446197154e-55,54.23472470484098
Pgm1,Pgm1,15.835072,1.4335198,1.7825527827128336e-56,3.7806560014323497e-54,53.42243283691312
Dnmt3a,Dnmt3a,15.826428,0.9260409,2.0450391185079104e-56,4.295663659938899e-54,53.366969730183484
Tut4,Tut4,15.731738,0.7266389,9.165997912594116e-56,1.880148426287087e-53,52.72580786447409
Bambi,Bambi,15.710174,2.3646514,1.2882545069335311e-55,2.630146152450136e-53,52.58002011788324
Marcks,Marcks,15.651001,0.56085926,3.270349059135721e-55,6.615037997347166e-53,52.17946765684446
Arhgap29,Arhgap29,15.649483,1.7925972,3.349285623899766e-55,6.743485631050908e-53,52.17111556354874
Mxra8,Mxra8,15.543081,2.3826833,1.7725303916683054e-54,3.536238600108673e-52,51.451458439582424
Atp1b2,Atp1b2,15.535993,2.420919,1.9798248854280033e-54,3.931842230419768e-52,51.40540391704356
Phactr2,Phactr2,15.495773,1.5473168,3.7047884406087775e-54,7.25856106540978e-52,51.13914946515257
Vegfc,Vegfc,15.458387,2.591159,6.623602909088861e-54,1.2861859320044509e-51,50.89069624493693
Foxf1,Foxf1,15.426955,4.024943,1.0783926473768876e-53,2.0847811131213982e-51,50.68093953606372
Ets1,Ets1,15.375396,1.6300374,2.3937760997923385e-53,4.5871259463169764e-51,50.33845933550796
Cacna1d,Cacna1d,15.362297,3.947773,2.9300579813969e-53,5.590269138218863e-51,50.25256728291329
Cdkn1c,Cdkn1c,15.291876,1.0951625,8.661820103386237e-53,1.645406878856731e-50,49.783726691396375
Tmem108,Tmem108,15.229108,3.226762,2.2666304232450407e-52,4.2685926647413396e-50,49.36971528625847
Zim1,Zim1,15.225501,1.9026649,2.395149466761291e-52,4.491265036578008e-50,49.347631315784085
Col4a5,Col4a5,15.178636,1.5580059,4.898687257227831e-52,9.146519015194069e-50,49.03874415840696
Daam2,Daam2,15.142866,2.2258623,8.44516968223965e-52,1.556868812602247e-49,48.80774798111415
Mfap4,Mfap4,14.989075,1.389992,8.655054143040122e-51,1.5756165440148583e-48,47.80254946773555
Pcdh17,Pcdh17,14.959291,3.1783686,1.3546050186057827e-50,2.4456218127233576e-48,47.61161070075271
Spats2l,Spats2l,14.947273,2.4022753,1.622572393621871e-50,2.9173584547215294e-48,47.535010206002255
Tenm4,Tenm4,14.886128,0.85769194,4.055873111951712e-50,7.240673088108212e-48,47.14022106020286
Bag3,Bag3,14.878113,1.3997624,4.572170656156448e-50,8.120435290167942e-48,47.090420690087505
Stard8,Stard8,14.807416,3.2509766,1.3118704599474205e-49,2.3111666236114015e-47,46.63616874292141
Mest,Mest,14.733343,0.80546397,3.9373723547980326e-49,6.799515239268018e-47,46.167522048531325
Fzd7,Fzd7,14.660774,0.74184424,1.1495440461901659e-48,1.9695972126311585e-46,45.70562257902474
Smad7,Smad7,14.656575,1.7454013,1.2228730226684409e-48,2.0870525481799553e-46,45.68046661605324
Wbp1l,Wbp1l,14.59412,0.96231246,3.0613908593821845e-48,5.164294518813399e-46,45.286988997960975
Slit3,Slit3,14.57151,1.4019508,4.263622034463905e-48,7.137237942826148e-46,45.14646982439568
Robo2,Robo2,14.538354,1.9316362,6.92373110604308e-48,1.14682712209861e-45,44.940502044677004
Hipk3,Hipk3,14.538254,1.032335,6.933912816519613e-48,1.14682712209861e-45,44.940502044677004
Rcn3,Rcn3,14.5366,1.2897536,7.103398199110375e-48,1.166746506456133e-45,44.93302349083201
Csrp1,Csrp1,14.483313,1.3619443,1.544693905072827e-47,2.5276861950013814e-45,44.59727684345871
Kdm5b,Kdm5b,14.477756,0.5052529,1.674774593192555e-47,2.730320028028952e-45,44.563786445171246
Myh10,Myh10,14.446697,0.5921495,2.6299855273300254e-47,4.271624448869001e-45,44.369406936446104
Tiparp,Tiparp,14.395779,1.3196495,5.50022933460064e-47,8.867546858230131e-45,44.052196507934454
Adgrl1,Adgrl1,14.348857,0.61000246,1.0830724163753914e-46,1.7333522690057593e-44,43.761113166692674
